GRADES,SCORES,ATTENDANCE,ENGAGEMENT,STUDY HOURS,STYLE,INTEREST,MANAGEMENT,CONSISTENCY,MENTAL_CONDITION,RESPONSE_TO_FEEDBACK,HEALTH_CONDITION,FAST_LEARNER
A,748,95,POSITIVE,2.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,420,68,NEGATIVE,1.2,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,772,90,POSITIVE,2.9,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,672,86,POSITIVE,3.3,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,711,94,POSITIVE,3.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,784,89,POSITIVE,3.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,339,65,NEGATIVE,1.9,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,641,87,POSITIVE,3.1,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,378,61,NEGATIVE,1.1,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C-,368,68,NEGATIVE,1.2,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,750,68,POSITIVE,2.7,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,398,66,NEGATIVE,2.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,786,94,POSITIVE,2.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,405,68,POSITIVE,2.4,VISUAL,NO,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NO
A+,812,82,POSITIVE,3.0,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,763,83,POSITIVE,3.5,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,368,62,NEGATIVE,1.4,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,333,72,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,333,72,NEGATIVE,1.9,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,333,62,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,356,77,POSITIVE,2.3,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,YES
A-,368,63,NEGATIVE,2.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,789,87,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NO
B+,579,93,POSITIVE,2.8,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,357,75,NEGATIVE,1.5,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,705,80,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,YES
C+,421,75,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,66,NEGATIVE,1.7,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,890,85,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,766,88,POSITIVE,3.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,785,92,POSITIVE,2.7,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,775,92,POSITIVE,2.6,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,354,67,NEGATIVE,1.0,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,74,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,692,94,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,364,72,NEGATIVE,1.5,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,333,70,NEGATIVE,1.5,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,820,84,POSITIVE,2.5,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,403,74,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,63,NEGATIVE,1.5,AUDITORY,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,646,86,POSITIVE,3.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,470,71,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,423,69,NEGATIVE,1.1,AUDITORY,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B+,333,73,NEGATIVE,1.8,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,672,93,POSITIVE,2.6,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,491,64,NEGATIVE,1.1,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B+,424,63,POSITIVE,3.0,KINESTHETIC,NO,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,YES
A-,765,85,POSITIVE,2.3,KINESTHETIC,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,722,95,POSITIVE,3.5,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,621,85,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,412,72,NEGATIVE,1.0,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B,741,95,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,62,NEGATIVE,1.5,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,378,69,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,871,87,POSITIVE,2.8,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,395,80,NEGATIVE,1.5,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,851,75,POSITIVE,3.2,KINESTHETIC,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,YES
B+,518,74,NEGATIVE,3.1,VISUAL,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,YES
C+,411,66,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,806,62,POSITIVE,3.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,779,83,POSITIVE,3.3,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C-,654,90,NEGATIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,YES
C,427,71,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,440,82,NEGATIVE,1.3,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,415,64,POSITIVE,2.9,VISUAL,YES,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,428,65,NEGATIVE,1.6,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,914,94,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,760,95,POSITIVE,3.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,347,64,POSITIVE,1.6,AUDITORY,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,YES
A-,644,93,POSITIVE,3.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,365,65,NEGATIVE,1.6,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,70,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,744,95,POSITIVE,2.6,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C-,333,70,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,768,87,POSITIVE,3.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,396,69,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,60,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,67,NEGATIVE,1.5,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,655,85,POSITIVE,3.3,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,624,86,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NO
B+,768,77,POSITIVE,3.1,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,340,71,NEGATIVE,1.6,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,703,90,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,606,89,POSITIVE,2.8,KINESTHETIC,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,333,62,NEGATIVE,1.3,KINESTHETIC,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B+,601,94,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,334,93,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,YES
B+,680,83,POSITIVE,3.1,KINESTHETIC,NO,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NO
C-,389,73,NEGATIVE,1.3,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,754,95,POSITIVE,2.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,721,81,POSITIVE,2.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,776,81,POSITIVE,3.5,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,608,92,POSITIVE,2.8,KINESTHETIC,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,692,94,POSITIVE,2.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,701,90,POSITIVE,3.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,72,NEGATIVE,1.1,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,756,85,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,732,95,POSITIVE,3.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,333,77,NEGATIVE,1.4,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,792,87,POSITIVE,3.4,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,883,90,POSITIVE,2.7,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,758,86,POSITIVE,2.9,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,64,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,741,80,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,750,94,POSITIVE,2.4,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,392,75,POSITIVE,1.7,KINESTHETIC,NO,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NO
A,708,81,POSITIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,70,NEGATIVE,1.7,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,745,94,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,835,95,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,64,NEGATIVE,1.6,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,390,72,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,762,82,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,805,90,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,718,84,POSITIVE,3.0,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,438,62,NEGATIVE,1.0,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,620,65,NEGATIVE,3.3,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,YES
A,689,91,POSITIVE,3.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,699,88,POSITIVE,3.1,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,385,67,NEGATIVE,1.5,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,70,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,758,84,POSITIVE,2.5,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,833,87,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,737,95,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,708,87,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,837,95,POSITIVE,3.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,333,62,NEGATIVE,1.4,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,YES
A,681,95,POSITIVE,3.3,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,333,58,NEGATIVE,2.3,VISUAL,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B,333,63,NEGATIVE,1.3,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,694,92,POSITIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,385,66,POSITIVE,1.8,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,YES
B,333,67,NEGATIVE,1.7,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,60,NEGATIVE,1.6,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,333,76,NEGATIVE,3.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,354,64,NEGATIVE,1.7,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,414,66,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,712,92,POSITIVE,2.7,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,559,91,POSITIVE,2.3,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,655,82,POSITIVE,2.6,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,589,76,NEGATIVE,2.7,VISUAL,NO,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,YES
B,333,70,NEGATIVE,1.4,KINESTHETIC,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,717,94,POSITIVE,3.0,AUDITORY,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,75,NEGATIVE,1.5,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,504,68,NEGATIVE,1.0,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,750,91,POSITIVE,2.0,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,333,77,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,487,77,NEGATIVE,1.8,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,68,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,677,91,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,333,71,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,382,73,NEGATIVE,2.9,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,788,92,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,514,72,NEGATIVE,1.4,KINESTHETIC,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
C,401,71,NEGATIVE,1.1,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,333,76,NEGATIVE,1.6,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,333,67,NEGATIVE,1.7,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,403,73,POSITIVE,2.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,468,73,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,72,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,682,95,POSITIVE,2.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,807,89,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,377,72,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,466,89,POSITIVE,2.5,KINESTHETIC,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NO
C-,468,74,POSITIVE,2.3,VISUAL,YES,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,YES
A,666,95,POSITIVE,2.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,773,86,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,838,93,POSITIVE,2.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,792,92,POSITIVE,3.6,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,333,65,NEGATIVE,1.4,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,357,70,NEGATIVE,1.5,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,833,92,POSITIVE,3.3,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NO
C,341,62,NEGATIVE,1.7,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,745,84,POSITIVE,2.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,690,94,POSITIVE,3.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,758,91,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,334,71,NEGATIVE,2.7,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,YES
A+,813,79,POSITIVE,3.0,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,YES
B+,333,64,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,347,70,NEGATIVE,1.5,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,733,89,POSITIVE,2.7,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,791,95,POSITIVE,3.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,333,65,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,900,94,POSITIVE,3.0,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,604,75,POSITIVE,3.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NO
A-,362,84,NEGATIVE,1.4,KINESTHETIC,NO,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NO
C-,823,63,NEGATIVE,1.7,VISUAL,YES,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
A+,730,89,POSITIVE,2.3,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,424,92,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,702,89,POSITIVE,2.9,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,340,58,NEGATIVE,1.8,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,672,95,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,417,82,NEGATIVE,1.0,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,469,79,POSITIVE,2.5,KINESTHETIC,NO,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,754,88,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,782,63,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,403,58,POSITIVE,3.2,KINESTHETIC,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,YES
C,519,81,POSITIVE,3.0,AUDITORY,NO,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,NO
C,445,70,NEGATIVE,1.2,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
C+,390,74,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,423,70,POSITIVE,3.2,AUDITORY,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,YES
C+,411,67,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
